,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051
10,0.15917173212387092,,,,,,,,,0.34820224729763694,,,,,0.38971411913435994,0.44318137022969517,,,,,,,,0.22898849151758716,,,,,0.36437088050482636,0.18397486857322742,,0.0,0.0,,,,,0.42909234222175374,0.228525784020282,0.29680127577501614,,0.587420294953032,0.6554284452258972,,,0.33709006747631576,,0.0,0.35045149845036305,0.3318825202327196,
11,,,,,,,,,0.3936766802540733,,0.20968026576434684,,,,,,,,,0.47533303486493783,0.21181157897440872,0.0,,,,0.40118133271407463,,,0.43977170677415567,,0.3205309214893992,,,0.0,,0.2012904432866891,0.4342139795784007,0.4238878289218999,0.22637868456267507,,,,,,,,0.4643425292537743,0.2499517940239876,,,
12,,0.2500832156703908,,,,,,0.2308406223627718,,0.2558072577466508,,0.0,,,0.3889763250061151,0.5392471804307264,0.0,,0.4601875535259323,,,,,,0.35625567523808876,,,,,,0.31527358710945064,,,,0.4706600546708084,,,,,0.5481845920884647,,0.6265722441893515,,,0.42660164052694616,0.38029691409436495,0.35567300862662987,,0.40471162932783267,,0.333780497906375
13,,,,,,,,0.3344849535033487,0.5501333051867932,,0.1752140810266144,,,,,,,,,0.3806181757219328,,,,,,0.43133195850634576,0.0,,0.2845144104796373,,,0.3168504111690331,,0.22131182617189948,,0.33688350989456795,0.4347008774907628,0.413606012312391,0.2521236274535438,,0.18657759471147495,,0.5610268506466216,0.6158243287417942,,,0.450923832037766,,,,
14,0.322313456466781,,,,,,,,0.5078375204353412,,0.36955229919226706,0.5064729738033251,,0.0,0.41382206743879046,0.49794051364245673,,,,,,0.3242111959187465,0.3146435368962376,,,,,,,,0.4255944337252894,,0.2909355541970454,,0.4924159706071398,,,0.403474914228079,,0.48053195546814986,,0.35251142665207047,,,,0.4265625274516158,,,,0.35851694956914126,0.5598383778350958
15,,0.30685683323345514,,,,,,,,0.39735816139347413,0.47789694679766337,,,,0.5032827212443932,,0.37824499125479294,,0.45910261724263124,,,,,,0.40052272102719855,0.42030052940517304,,,,,0.41371615406519935,0.42760397329876043,,0.2782349863416732,,0.4658378609724533,,,0.21358495047571546,,,,0.5576457612014325,0.4197407534474208,,,0.4740354253480066,0.3601354032351505,0.45534557819574195,,0.5036985199502506
16,0.29240770392094173,0.3147819416585621,,,,,,0.4884569595498016,,0.4580598282083468,,,0.0,0.40195756500082913,,0.47420740875256806,,0.0,,0.43558698437261534,0.36250756118830707,0.368196683621999,0.48366220926563785,,,,0.22589149801062303,,0.3908169673684566,0.2573852968259549,0.4043816134423944,,,0.28814594154993667,0.5830154214448874,,,,0.21882957908999545,0.36534027460182084,,,,,,0.4396037399226226,,0.4252487279971262,0.5587043655510984,0.48429424634067486,0.5189165134351118
16a,,,,,,,,,0.3808827368249218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16b,,,,,,,,,0.4417322111005261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,0.45948943423698685,,,0.35823490539195335,,,,0.544012742643218,0.528307486015849,0.36488159158164335,,,,,,,0.26791190979882784,,0.5050314537298364,,,,0.22956221434013824,,,,,,0.5709911856862947,0.5129436281457598,0.43274591772640036,0.1991785543502379,,,,0.4640672797510734,0.4139659814269021,0.37826761970586764,0.39464443490475254,,0.4846007534732405,0.5414409046210493,,0.39726268663272
18,0.44541380364631633,0.3233150929639237,,,,,,0.38824465775854167,0.500008525296516,0.2710600692377477,,0.4150196890789485,0.2717092939580814,0.42740676948744294,,0.496683753955072,,0.47364208373708006,0.5260434078394487,0.41274613778874025,0.4460923765218454,0.33729789316291736,0.5839080149378908,0.25929318396752143,0.3947127976208984,0.41798122803398197,0.1787276919712758,0.0,,0.2585860616615818,,0.35868294782692256,0.39927405512910163,0.25554006317268185,0.6087483922645103,0.4879445277803085,0.38996872149855133,,,,,0.5409276447737168,,0.38800512440105106,0.35207346448421717,0.4150854777319174,0.5287421316980719,0.45065869857135565,,0.33658311909476935,0.46437713848872864
19,0.40452902921426004,,,,,,,,,,,,0.2102665891814015,,0.4939713048827451,0.4990269981803128,0.46330986991182943,,,,,,,0.3739171372000356,0.4436116763998582,0.4952057833508553,,,,,0.4162375723210894,,,,,0.44169508222010345,0.494864932988511,,0.2390547128166446,0.4698902815902476,0.4103392048910043,,0.5373917621851501,,0.3782749633627003,,,,,,
20,,0.22434840012469293,,,,,,,,,0.4424639329626687,,,,,,,,,0.5485700773271673,0.443625905280008,0.38007717080574266,,,,,0.2770707836779338,0.24914225922673594,0.3650434273453318,0.2910749417281512,,0.32359451705621656,,,,0.43290418383622675,,,,,0.505269951696867,0.5236255348864765,,,,0.4446841941723939,0.4530505570154626,,,,
21,,0.4046713617478209,,,,,,0.4285485161314151,,,,0.3908013534039456,0.20346784996799117,,,,,,,,,,0.4726349129659626,,,,,,,,,,0.4657746504634933,0.3368039170219391,0.5522651995713033,,,0.4944122196214997,,0.506252096879896,0.3794579572884168,,,0.4148823043195978,,,,,,,
22,0.34814981524053923,,,,,,0.0,,,,,,,0.4044274855922422,,,0.4616363830396718,0.4962826913688978,,0.4170329388238325,,,0.3996162936469775,,0.388422020270658,,0.3724334917468931,,0.4963013850414061,,,,,,,,,,,,,,,,,,,,,0.4008841773667944,
22a,,,,,,,,,0.5522804932582301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22b,,,,,,,,,0.5312043582299791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,0.47671376293289225,0.0,,,,0.14249887939065065,,,,,0.35840813114564674,0.24887013805416325,,,,,,0.4722330570792528,,0.5112094492735062,0.3510727375058331,,0.30113500372630364,0.5272814480282371,,,,0.4559413494106954,0.4128627425607866,,,,,,,,0.5788860376479505,,,,,0.5306410642865735,,,,0.5961372277935154,,,,
23a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5757661243759387,,,,,,,,,,,,,,,,
23b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5707097733393378,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,0.4871501670542826,,,,,,,,0.4516803373162409,,,,,,,,,,,,0.42065368971258366,,,,,,,,,0.3910904321715426,0.43877707000472,,,,,,,,,0.4254690782917323
25,,,0.1791624690157928,,,,,,,,,0.3563077079916894,0.2765231425952749,,,,,0.5843348567110629,,,,0.3476392170605572,0.35282935006489524,0.31739924946423037,,,0.3897010208143086,,,,,,0.5411761830937254,0.37459839931282657,,,,,,,,,,0.43493800027252427,0.420197179317084,,,,,,
26,,0.4200054471801621,,0.0,,,0.15811081819168682,,,,,0.5690360575753444,,,,,0.5192602893946421,,,0.4977306690293113,,0.35130577124660745,,,,,,0.19572134884955084,,0.3768985885905677,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,0.36418387537885544,0.5857623208698884,,,,,,,0.44504120741905884,,0.5087753314758696,0.3205014254945522,,,,,,,,,,,,,,,,,,,,,0.5747926567715809,,,,0.5693593825853758,0.538350418753975,,,
28,0.2721238628435688,,,0.2590506549679127,,,,,,,,,,,,,,0.4196698868041847,,,,0.40304534836016437,,0.3910242874079357,0.43941964547195966,,,0.3242852757459389,,,,0.4446631260511277,,,,,,,,,,0.5106303142987991,,,0.46617411610133264,,,,,,
29,0.3088517471219622,0.3635863544722786,,,,,,0.4005645998251127,,,,,,,,,0.42831507763562204,0.3936352061836048,,,,,0.4166594941358699,,,,,,0.4664124761805657,,,,,,,,,,,,,,,,,,,,,,
30,,,,0.318551029994786,0.0,,,0.46657750067827075,,,0.3610817938151696,0.43481496663355423,0.37976988536484846,0.4503092254646851,,,,,0.47756823737691756,0.45612417999571275,0.5025600706793234,0.4201057395877801,,0.34550951286360687,,,0.34747736752033964,,,,,,0.5330458641791158,0.2994566260006425,,,,,,,,,,,,,,0.5472404767897372,,,
31,,0.3657926931859573,,,0.1547947379347151,0.0,,0.40450134189889386,,,,,,,,,,,,,,,,,,,,,0.4267915679029609,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,0.47040277241683626,,,,,0.4501368878800396,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4283071917836827,,,,,,
33,0.38429077107587073,,,,,,,0.5234897272407915,,,,,,,,,,0.5828248908656685,,,,,,,,,,,0.4780328087721173,,,0.44420183340321695,,,,,,,,,,,,,,,0.7589393780494705,0.6150495474291966,,,
34,,,,,,,,,,,0.4670541345424073,0.44609028296997466,0.25329281436580897,,,,,0.5091525957487725,,,,,,,0.5247192644892363,,,0.33015625087995093,,,,,,,,,,0.4800495613689627,,,,,,,,,,,,,
35,,,0.21408911970026467,,0.15433695620964683,,,0.49534673935747275,,,,,,,,,,,,,0.543720428227144,,,,,,,0.4173633910927451,,,,0.4936567353593858,0.5644105909037683,0.40808767055085515,,,,,0.30508061893921434,,,,,,,,,,,,
36,,0.3140313683513607,,,,0.061902680477285976,,,,,,0.4605576756560694,,0.36847035411779094,,,0.5285122751603539,0.4930439270853444,,0.48279336942767903,,,,,,,0.34370903350247484,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,0.31675349717742707,,,0.26742755599742285,,,,,,,,,,,,,,,,,,,,,0.27522069037437247,,,,,,,,,,,,,,,,,,,,,,,
38,,0.3370174192553185,0.2507973043858095,,,,0.1352905461474293,,,,,,,,,,0.5491018627175807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,0.3185555539215633,,,,,,,,,,,,,,0.5131445541419523,,,,0.6114889750018913,,,,,,,,0.5002731999697202,0.4017103180082108,,,,,,,,,,,,,,,,,
40,0.46335924627638125,,,0.38514985850315797,0.2942240958389234,0.10313961486808143,,,,,0.37559370607804554,,,0.4194638973149536,,,,,,,,,,,,,,,,,,0.37711703590684165,,,,,,,,,,,,,0.4807073407563087,,,,,,
41,,,,,,,,0.4946176340787012,,,,,0.2732689893468938,,,,,,,,,,,,,,0.42066822774470847,0.30267359838781216,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,0.09463471641276822,,,,,0.4419370578310996,,,0.4743454585837711,,,0.5612429300847968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4430890131673966,,,,,,
43a,0.47507719728820474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43b,0.4524556241291585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,0.33913188472945754,,,,,,,,,,,,,,,,,,,,0.5630984373030143,0.37038023915369633,,,,,,,,,,,,,,,,,
45,,,,,0.2677388488818858,,0.3153191106041615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3411292035157467,,,,,,,,0.7881070134770255,,,,
46,,,,,,0.05236704342510912,,,,,,,,,,,,,,,,,,,,,,0.2849204428014691,,,,,,,,,,,,,,,,,,,,0.6136474430677226,,,
47,,,0.30428476676942673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,0.36450619133858264,0.3063349907699848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5386941840604587,,,,,,
49,,,0.24984161522519432,,0.3237413650135159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6215164695362321,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38122956089173177,,,,,,,,,0.6642176996170155,,,
51,,,0.34749695323305974,0.33834297708157424,,0.15001987269394002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,0.3375509773683619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4101128473869876,,,,,,,,,0.6711516489774672,,,
53,,,,0.3780774456458963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6294699291442538,,,
55,,,,,,0.17908956919968821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7566285095852926,,,,
58,,,0.3969750965176353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,0.3552138206306782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,0.34584603437097017,,0.3837382155175961,0.11871953147620717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,0.41119301237121963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,0.35864580924421297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,0.292671503794143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,0.2921923995775543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
